Rank,Name,NPC,Birth,Time,Date,City,Country
73,WONG Hon Yin,HKG,2001,1:21.46,16 February 2019,Melbourne,Australia
74,HARKONEN Taneli,FIN,1997,1:21.73,27 April 2019,Glasgow,Great Britain
75,DA SILVA BARBOSA Alexandre,BRA,2001,1:22.09,6 July 2019,Sao Paulo,Brazil
76,BEJITA Muhammad,INA,2000,1:22.31,10 May 2019,Singapore,Singapore
77,ROSSER Alex,GBR,1996,1:22.37,27 April 2019,Glasgow,Great Britain
78,ALFORD Joshua,AUS,1995,1:22.46,16 February 2019,Melbourne,Australia
79,HAN Liang Chou,SGP,1996,1:22.47,10 May 2019,Singapore,Singapore
80,QUESADA-AMOR Alexander,USA,2002,1:22.59,7 December 2019,Lewisville,United States of America
81,STEWART Bailey,AUS,2001,1:22.79,14 October 2019,Brisbane,Australia
82,KAMO Hiroyuki,JPN,1989,1:22.95,22 September 2019,Yokohama,Japan
83,HUANG Jianhua,CHN,1989,1:23.07,14 October 2019,Brisbane,Australia
84,KELMAN-JOHNS George,GBR,2001,1:23.21,27 April 2019,Glasgow,Great Britain
85,LABRADOR FERNANDEZ Javier,ESP,2001,1:23.60,15 June 2019,TENERIFE,Spain
86,RENGKUANKWAI Chayapol,THA,2004,1:23.65,10 May 2019,Singapore,Singapore
87,ZAYASU Shota,JPN,1988,1:23.89,22 September 2019,Yokohama,Japan
88,BISSETT Connor Scott,CAN,2000,1:24.16,11 August 2019,Winnpeg,Canada
89,CHEN Yu Chia,MAC,1998,1:24.59,14 October 2019,Brisbane,Australia
90,MACHADO RODRIGUEZ Uriel Rafael,VEN,1999,1:24.82,25 August 2019,Lima,Peru
91,CHAN Wei Siang Darren,SGP,2003,1:24.89,10 May 2019,Singapore,Singapore
92,PAREDES MARCO Luis Francisco,ESP,1993,1:25.19,30 March 2019,MADRID,Spain
93,KIM Jiwon,KOR,2001,1:25.21,21 April 2019,Cheongju,South Korea
94,ZUL AMIRUL SIDI Anas,MAS,2000,1:25.56,10 May 2019,Singapore,Singapore
95,HONGO Masahiro,JPN,1990,1:25.75,3 March 2019,Fuji,Japan
96,LEE Inkook,KOR,1995,1:25.78,10 May 2019,Singapore,Singapore
97,OHASHI Kaito,JPN,1990,1:25.95,22 September 2019,Yokohama,Japan
98,CHILIQUINGA Byron,ECU,1993,1:26.35,25 August 2019,Lima,Peru
99=,TAKAYANAGI Haruki,JPN,1991,1:27.30,3 March 2019,Fuji,Japan
99=,LAMLACHON Kittiphak,THA,2004,1:27.30,14 October 2019,Brisbane,Australia
101,KLASSON Tobias,SWE,2000,1:27.54,11 September 2019,London,Great Britain
102,HERNANDEZ CETINA Nahum Daniel,MEX,2001,1:27.79,31 May 2019,Lignano Sabbiadoro,Italy
103,CANNEY Jesse,CAN,1996,1:28.02,11 August 2019,Winnpeg,Canada
104,CASALI Kevin,ITA,1993,1:29.33,31 May 2019,Lignano Sabbiadoro,Italy
105,VIJITNUKOONPRADIT Sirapob,THA,2002,1:29.42,14 October 2019,Brisbane,Australia
106,MENESES MEDERO Alejandro,ESP,1999,1:29.58,15 June 2019,TENERIFE,Spain
107,RENTSCH Pascal Andreas,GER,2003,1:30.19,31 May 2019,Lignano Sabbiadoro,Italy
108,FOX Daniel,AUS,1991,1:30.39,16 February 2019,Melbourne,Australia
109,HERNANDEZ RODRIGUEZ Javier Josue,PUR,1999,1:30.62,5 April 2019,Indianapolis,United States of America
110,NATAMA Kevin Ode,INA,1996,1:30.64,14 October 2019,Brisbane,Australia
111,WIJAYANTO Daniel Nugroho,INA,1985,1:31.09,14 October 2019,Brisbane,Australia
112,MARCHAND Logan,FRA,2003,1:31.33,14 October 2019,Brisbane,Australia
113,ALVARADO ALVARADO Alejandro De Jesus,MEX,2003,1:32.21,31 May 2019,Lignano Sabbiadoro,Italy
114,GREVE Jesse,USA,1990,1:32.76,5 April 2019,Indianapolis,United States of America
115,BECK David,NZL,1996,1:33.51,16 February 2019,Melbourne,Australia
116,LIM Kong Boon,SGP,1999,1:33.88,10 May 2019,Singapore,Singapore
117=,MOSS Garner,USA,1992,1:33.89,5 April 2019,Indianapolis,United States of America
117=,IN-CHOO Wachirawit,THA,2003,1:33.89,10 May 2019,Singapore,Singapore
119,KHOO Ethan Yin Jun,MAS,2004,1:35.09,14 October 2019,Brisbane,Australia
120,BERJEL HERRERA Ruben David,VEN,1992,1:36.75,13 December 2019,Barquisimeto,Venezuela
121,CHAN Zhi Weng Zadrian,MAS,2002,1:37.05,10 May 2019,Singapore,Singapore
122,ABRAMOVITCH Jared,USA,1994,1:38.08,27 October 2019,Yucaipa,United States of America
123,CHUVONG Jirachot,THA,2000,1:38.30,10 May 2019,Singapore,Singapore
124,VEJNOVIC Aljaz,SLO,2002,1:38.31,31 May 2019,Lignano Sabbiadoro,Italy
125,CHOI Chi Hou,MAC,2004,1:55.50,10 May 2019,Singapore,Singapore
