Rank,Name,NPC,Birth,Time,Date,City,Country
62=,SHUSHARIN Sergei,RUS,2005,0:57.60,12 June 2025,Guadalajara,Mexico
64,RENTSCH Pascal Andreas,GER,2003,0:57.62,20 June 2025,Berlin,Germany
65,VANZENKO Dmytro,UKR,1996,0:57.80,20 March 2025,Barcelona,Spain
66,MEEPROM Natirat,THA,2006,0:58.02,12 June 2025,Guadalajara,Mexico
67=,PARMENTIER Aymeric,BEL,1993,0:58.03,13 March 2025,Lignano Sabbiadoro,Italy
67=,SON Jiwon,KOR,2008,0:58.03,11 December 2025,Dubai,United Arab Emirates
69,MOHD AZMI Muhammad Zhafri Adam,MAS,2006,0:58.07,27 August 2025,Bangkok,Thailand
70,DEGUCHI Eigo,JPN,1996,0:58.12,1 November 2025,Narashino,Japan
71,SAKAKURA Koki,JPN,1997,0:58.13,10 April 2025,Fuji,Japan
72,FUELLGRAF Julian Jeremy,GER,2005,0:58.14,14 December 2025,Rostock,Germany
73,MATSUSHITA Haruto,JPN,2007,0:58.16,11 December 2025,Dubai,United Arab Emirates
74,KRAINYK Vasyl,UKR,1996,0:58.24,13 March 2025,Lignano Sabbiadoro,Italy
75,OLIVEIRA MARTINS BRANCO Kaio Adriano,BRA,2001,0:58.25,27 August 2025,Bangkok,Thailand
76,PREMUS Danilo,CRO,2007,0:58.31,12 July 2025,Zagreb,Croatia
77,D'ANIELLO Marco,ITA,1998,0:58.49,13 March 2025,Lignano Sabbiadoro,Italy
78,KIM Donghyeon,KOR,1999,0:59.01,28 September 2025,Busan,South Korea
79,LIM Hyeoksu,KOR,2001,0:59.09,10 April 2025,Fuji,Japan
80,CHUI Ho Bon Samuel,HKG,2005,0:59.12,13 March 2025,Lignano Sabbiadoro,Italy
81,IMAM BASORI Duran Yaspi,MAS,2007,0:59.21,10 April 2025,Fuji,Japan
82,LUKACSKO Trevor,USA,2003,0:59.26,27 August 2025,Bangkok,Thailand
83,NEGRO Eros,ITA,2001,0:59.44,5 July 2025,Naples,Italy
84,ALFORD Joshua,AUS,1995,0:59.50,19 December 2025,Brisbane,Australia
85=,REGISTE Deaten,IRL,2003,0:59.75,20 June 2025,Berlin,Germany
85=,IN-CHOO Wachirawit,THA,2003,0:59.75,27 August 2025,Bangkok,Thailand
87,KAKO Toshiya,JPN,1995,0:59.90,14 September 2025,Nagoya,Japan
88,NAKAJIMA Keichi,JPN,1998,1:00.33,13 January 2025,Narashino,Japan
89,HIRANO Ryuhei,JPN,1989,1:00.43,10 April 2025,Fuji,Japan
90,CHAN Wei Siang Darren,SGP,2003,1:00.47,10 April 2025,Fuji,Japan
91,JONSSON Robert Isak,ISL,2001,1:00.51,24 May 2025,Reykjavik,Iceland
92,ABDULLAH Mohd Adib Iqbal,MAS,1999,1:00.65,27 August 2025,Bangkok,Thailand
93,DILLING Jason Michael,GER,2007,1:00.68,13 March 2025,Lignano Sabbiadoro,Italy
94,KOOK Dongken,KOR,2002,1:00.70,7 December 2025,Cheonan,South Korea
95,RUIZ ASCENCIO Juan Antonio,MEX,2007,1:00.97,6 November 2025,Santiago,Chile
96,REITER Florian,GER,2008,1:00.99,25 July 2025,Istanbul,Türkiye
97,LEIB Richard,EST,2004,1:01.01,27 August 2025,Bangkok,Thailand
98,MCMANUS Nathan,GBR,2007,1:01.07,22 July 2025,Sheffield,Great Britain
99,KLASSON Tobias,SWE,2000,1:01.25,26 June 2025,Norrköping,Sweden
100,CHAMBERS Cameron,CAN,1997,1:01.32,8 March 2025,Victoria,Canada
101,GUZMAN HERNANDEZ Jose Angel,MEX,2005,1:01.34,23 October 2025,Lima,Peru
102,ARCINIEGAS TORRES Jesus David,COL,2007,1:01.48,23 October 2025,Lima,Peru
103,SCHUMACHER Jakob,AUT,2006,1:01.50,13 March 2025,Lignano Sabbiadoro,Italy
104,HAYDON James,NZL,2007,1:01.58,27 August 2025,Bangkok,Thailand
105,DYER Jarred,AUS,2000,1:01.62,27 August 2025,Bangkok,Thailand
106,FINOL TORRES Andres Javier,VEN,1999,1:01.67,12 June 2025,Guadalajara,Mexico
107,BUGLER Jack,NZL,2002,1:01.83,14 February 2025,Melbourne,Australia
108,LEE Jong Gil,KOR,1997,1:02.10,4 November 2025,Busan,South Korea
109,KORSAKOV Nikita,EST,2008,1:02.23,25 July 2025,Istanbul,Türkiye
110,CANNEY Jesse,CAN,1996,1:02.35,29 November 2025,Markham,Canada
111,CHOI Chi Hou,MAC,2004,1:02.71,27 August 2025,Bangkok,Thailand
112,MACHADO RODRIGUEZ Uriel Rafael,VEN,1999,1:02.79,23 August 2025,Barquisimeto,Venezuela
113=,CASALI Kevin,ITA,1993,1:02.86,26 June 2025,Rome,Italy
113=,BECK David,NZL,1996,1:02.86,27 August 2025,Bangkok,Thailand
115,FERREIRA Paul Gabriel,ARG,2007,1:02.91,8 December 2025,Buenos Aires,Argentina
116,SCALISE Bautista,ARG,2003,1:03.24,29 June 2025,Buenos Aires,Argentina
117,CHAYSRI Parami,THA,2005,1:03.31,27 August 2025,Bangkok,Thailand
118,KIM Seungjin,KOR,1999,1:04.00,4 November 2025,Busan,South Korea
119,TAN Eng Kiong Benson,SGP,1991,1:04.29,15 August 2025,Singapore,Singapore
120,BRAAT Thomas,NED,2008,1:04.89,17 May 2025,Berlin,Germany
121,AGUILAR PEREZ Leonardo,MEX,2003,1:05.02,12 June 2025,Guadalajara,Mexico
122,CASTILLO CORDOVA Julian,MEX,2002,1:05.11,12 June 2025,Guadalajara,Mexico
123,HEE Nicholas,SGP,2004,1:05.85,15 August 2025,Singapore,Singapore
124,CORDERO Eric,USA,2009,1:06.41,27 August 2025,Bangkok,Thailand
125,SOU Chi Ngai,MAC,1997,1:06.42,27 August 2025,Bangkok,Thailand
126,FRICANO Antonio,CAN,2001,1:06.93,12 July 2025,Toronto,Canada
127,NUNEZ Bruno,CHI,2010,1:07.39,6 November 2025,Santiago,Chile
128,HAN Liang Chou,SGP,1996,1:07.45,15 August 2025,Singapore,Singapore
129,RONGONI Francesco,ITA,2002,1:07.70,13 March 2025,Lignano Sabbiadoro,Italy
130,DEMESTRE Jackson,FRA,2008,1:07.97,2 May 2025,Paris,France
131,NUNEZ Lautaro Ezequiel,ARG,2008,1:08.08,8 December 2025,Buenos Aires,Argentina
132,SATCHAROEN Sarun,THA,2006,1:08.59,12 June 2025,Guadalajara,Mexico
133,GREVE Jesse,USA,1990,1:09.29,11 October 2025,Cumming,United States of America
134,KIM Minkyu,KOR,1998,1:09.76,28 September 2025,Busan,South Korea
135,MARTINEZ SANCHEZ Jonathan Antonio,NCA,2003,1:11.75,12 June 2025,Guadalajara,Mexico
136,KIA Cyrus,USA,2007,1:15.70,24 April 2025,Indianapolis,United States of America
137,AUSTIN Tyler,USA,2001,1:16.51,24 April 2025,Indianapolis,United States of America
138,NATARAJ Sai Nikhil,IND,2003,1:16.58,16 November 2025,"Hyderabad, Telangana",India
