Rank,Name,NPC,Birth,Time,Date,City,Country
28,SELLICK Gemma,AUS,2010,1:08.91,15 December 2025,Sydney,Australia
29,PENNINGTON Carolyn,USA,2008,1:09.67,20 June 2025,Boise,United States of America
30,MAEDA Ema,JPN,2007,1:09.68,11 December 2025,Dubai,United Arab Emirates
31,GODOY SOTO Kiara Pollet,CHI,2002,1:09.77,23 October 2025,Lima,Peru
32,VEIGA Susana,POR,2000,1:09.83,1 June 2025,Rio Maior,Portugal
33,BADROV Marija,CRO,2008,1:10.08,2 May 2025,Paris,France
34,SORINI Margherita,ITA,2004,1:10.13,5 July 2025,Naples,Italy
35,LERIDA MALDONADO Beatriz,ESP,2005,1:10.22,22 February 2025,Palma de Mallorca,Spain
36,ESPINOSA MATA Briana Naomy,MEX,2004,1:10.42,12 June 2025,Guadalajara,Mexico
37,KNOTT Keegan,USA,2005,1:10.61,24 April 2025,Indianapolis,United States of America
38,BASNAYAKE Galina,SRI,2005,1:10.63,24 September 2025,Singapore,Singapore
39,FROEKJAER Johanne,DEN,2009,1:10.86,24 September 2025,Singapore,Singapore
40,BRIMELOW Grace,AUS,2007,1:11.04,11 April 2025,Brisbane,Australia
41,CORNELISSEN Lena Katharina,GER,2000,1:11.15,20 June 2025,Berlin,Germany
42,PELLIS Suzie,NED,2007,1:11.27,25 July 2025,Istanbul,Türkiye
43,CONRAD Brittany,USA,2009,1:11.46,24 April 2025,Indianapolis,United States of America
44,FALTMAN Helena,SWE,1980,1:11.53,5 April 2025,Bergen,Norway
45,SUTTON Momo,USA,2007,1:11.82,24 April 2025,Indianapolis,United States of America
46,GONZALEZ ARANGO Nicol Samantha,COL,2007,1:11.83,6 November 2025,Santiago,Chile
47,PROCHASKA Cali,USA,2002,1:12.20,24 April 2025,Indianapolis,United States of America
48,LEKON Annika,GER,2003,1:12.24,20 June 2025,Berlin,Germany
49,FREEMAN Casey,USA,2007,1:12.31,24 April 2025,Indianapolis,United States of America
50,DIEHL Ali,CAN,2008,1:12.48,24 April 2025,Indianapolis,United States of America
51,FUKUDA Kanon,JPN,2006,1:12.68,10 April 2025,Fuji,Japan
52,JIMENEZ ROMERO DE AVILA Lydia,ESP,2006,1:13.08,20 June 2025,Berlin,Germany
53,ORELLANA Dahiana,ARG,2008,1:13.17,6 November 2025,Santiago,Chile
54,BADOWSKA Nikola,POL,2007,1:13.65,13 March 2025,Lignano Sabbiadoro,Italy
55,HARSANTO Mutiara Cantik,INA,2004,1:14.08,23 October 2025,Lima,Peru
56,DUARTE CALDERON Maira Alejandra,COL,2004,1:14.63,28 November 2025,Bucaramanga- Santander,Colombia
57,ORTEGA ZAMBRANO Mayte Yomaira,ECU,2005,1:14.93,23 October 2025,Lima,Peru
58,RICKERT Vivien,GER,2012,1:15.23,14 December 2025,Rostock,Germany
59=,MORLEY Elise,USA,2000,1:15.45,24 April 2025,Indianapolis,United States of America
59=,LYNCH Ellie,IRL,2010,1:15.45,25 July 2025,Dublin,Ireland
61,LADINO ARISMENDI Laura Valentina,COL,2010,1:15.59,6 November 2025,Santiago,Chile
62,TORRES CLAUDIO Diana Maria,MEX,2008,1:15.68,6 November 2025,Santiago,Chile
63,VERON Julie,FRA,2007,1:16.32,2 May 2025,Paris,France
64,LEAL FERRER Genesis Adela,VEN,1992,1:16.56,23 August 2025,Barquisimeto,Venezuela
65,NEIMAN LEAL Francisca,CHI,2003,1:16.66,23 October 2025,Lima,Peru
66,SALINAS Ariana,PER,2008,1:16.97,23 October 2025,Lima,Peru
67,HAASE Camila,CRC,2000,1:17.26,12 June 2025,Guadalajara,Mexico
68,ARIAS Hanna,URU,2010,1:17.85,6 November 2025,Santiago,Chile
69,NEIUFI Tupou,NZL,2001,1:18.17,14 February 2025,Melbourne,Australia
70,AYDIN Zeynep Ahsen,TUR,2012,1:18.33,25 July 2025,Istanbul,Türkiye
71,DEDIVANOVIC Iskra,MNE,2008,1:18.52,25 July 2025,Istanbul,Türkiye
72,WILLETT Emily,AUS,2006,1:18.82,24 April 2025,Brisbane,Australia
73,SLOAN Hannah,USA,2001,1:18.87,24 April 2025,Indianapolis,United States of America
74,PIEC Alicja,POL,2007,1:18.93,29 June 2025,Zielona Góra-Drzonków,Poland
75,SOLAR Luciana,ARG,2005,1:19.12,5 March 2025,Buenos Aires,Argentina
76,LACAZE Lila,ECU,2006,1:19.50,2 May 2025,Paris,France
77,CATALAN Emilia,CHI,2013,1:19.94,6 November 2025,Santiago,Chile
78,NAKAZIBWE Condoleeza Nyamisanga,UGA,2012,1:20.85,24 April 2025,Indianapolis,United States of America
79,GORTER Jenna,NED,2007,1:21.19,25 July 2025,Istanbul,Türkiye
80,GONZALEZ GONZALEZ Ximena,MEX,2006,1:21.24,24 April 2025,Indianapolis,United States of America
81,SAABER Lea,EST,2011,1:23.11,25 July 2025,Istanbul,Türkiye
82,LOPEZ Thiara,ARG,2013,1:23.44,8 December 2025,Buenos Aires,Argentina
83,HANULIAKOVA Dorota,SVK,2010,1:24.26,25 July 2025,Istanbul,Türkiye
84,CARRERA Francisca,CHI,2008,1:24.71,6 November 2025,Santiago,Chile
85,NAULT Tatiana,CAN,2005,1:25.18,29 November 2025,Markham,Canada
86,ASTRI LILLEBO Walsh,NOR,2008,1:25.75,2 May 2025,Paris,France
87,BENTANCOR Shamira Luana,ARG,2005,1:26.33,8 December 2025,Buenos Aires,Argentina
88,BIADOV Nina,SLO,2009,1:27.72,7 December 2025,Zagreb,Croatia
89,SKORZHEVSKAYA Polina,KAZ,2009,1:28.80,11 December 2025,Dubai,United Arab Emirates
90,SRICHANPLIW Mesa,THA,2007,1:29.99,11 December 2025,Dubai,United Arab Emirates
91,SOTO Angelina,VEN,2010,1:30.15,6 November 2025,Santiago,Chile
92,DE OLIVEIRA Keila,NAM,2010,1:30.19,6 April 2025,Windhoek,Namibia
93,MEZA Paulina,CHI,2008,1:32.88,6 November 2025,Santiago,Chile
94,NAKADE Shashruti Vinayak,IND,2004,1:34.90,16 November 2025,"Hyderabad, Telangana",India
95,TAK Kiran,IND,1981,1:36.09,20 March 2025,Barcelona,Spain
96,VILLARREAL Martina,CHI,2009,1:36.59,23 October 2025,Lima,Peru
97,CHIANG Man-Ling,TPE,2006,1:39.19,10 April 2025,Fuji,Japan
98,TREJOS MIRANDA Maria Lucia,CRC,2007,1:51.98,6 November 2025,Santiago,Chile
99,ALDAZORO PEREIRA Maria Julia,VEN,2000,1:55.92,23 August 2025,Barquisimeto,Venezuela
