Rank,Name,NPC,Birth,Time,Date,City,Country
45,HERNANDEZ RAMIREZ Nestor,MEX,2004,0:28.03,12 April 2024,Indianapolis,United States of America
46,SALGUERO GALISTEO Oscar,ESP,1998,0:28.10,1 June 2024,Berlin,Germany
47,COWAN Felix,CAN,2002,0:28.24,27 July 2024,Toronto,Canada
48,MCCLEMENTS Barry,IRL,2001,0:28.33,23 May 2024,Dublin,Ireland
49,ROPKOB Nantawat,THA,2005,0:28.37,19 May 2024,Singapore,Singapore
50,ROMERO VELAZQUEZ Octavio,MEX,2004,0:28.41,12 April 2024,Indianapolis,United States of America
51,CUBILLAS PARDO David,ESP,2004,0:28.44,15 June 2024,TERRASSA,Spain
52=,DELRUE Remi,BEL,2006,0:28.51,14 April 2024,Eindhoven,Netherlands
52=,LOMBARDI Mariano Jorge,ARG,2005,0:28.51,24 November 2024,Guadalajara,Mexico
54,MCNEAR Owen,USA,2006,0:28.57,14 December 2024,Orlando,United States of America
55,AL-HAYANI Mustafa,IRQ,2004,0:28.58,7 December 2024,Cairo,Egypt
56,ROBINSON Noah,AUS,2003,0:28.73,17 December 2024,Brisbane,Australia
57,PANGABEAN Jendi,INA,1991,0:28.78,8 June 2024,Limoges,France
58,BELLANGER Alexis,FRA,2005,0:28.83,8 June 2024,Limoges,France
59,NOR Jo Kebriel Stolhaug,NOR,2007,0:28.87,14 April 2024,Bergen,Norway
60=,DOS SANTOS ALMEIDA Victor,BRA,2008,0:28.99,17 May 2024,São Paulo,Brazil
60=,ABDALLA Hady,EGY,2001,0:28.99,7 December 2024,Cairo,Egypt
62,MOSS Matthew,RSA,2004,0:29.02,10 April 2024,Port Elizabeth,South Africa
63,WOLPERT Ron,ISR,2003,0:29.29,15 March 2024,Lignano Sabbiadoro,Italy
64,VIVES Mateo,ARG,2007,0:29.31,24 November 2024,Guadalajara,Mexico
65,MARIN REGINO Luis Camilo,COL,2005,0:29.32,20 October 2024,Bucaramanga,Colombia
66,BENNARNDT Leon,GER,2006,0:29.35,15 March 2024,Lignano Sabbiadoro,Italy
67,CASTRO BOTINA Juan Felipe,COL,2007,0:29.38,24 November 2024,Guadalajara,Mexico
68,CORDOBA Lautaro,ARG,2006,0:29.61,24 February 2024,Buenos Aires,Argentina
69,WONG Braxton,USA,2005,0:29.73,14 December 2024,Orlando,United States of America
70,TOSHINO Seiga,JPN,1998,0:29.75,5 May 2024,Yokohama,Japan
71,EIDELMAN Ryan,USA,2006,0:29.77,27 June 2024,Minneapolis,United States of America
72,ALHARBI Turki,KSA,2007,0:29.92,1 June 2024,Berlin,Germany
73,NAMETULLAYEV Yersultan,KAZ,2008,0:30.00,7 December 2024,Cairo,Egypt
74,SMIRNOV Daniil,NPA,2001,0:30.09,8 June 2024,Limoges,France
75,OUCHI Shuma,JPN,2007,0:30.30,9 March 2024,Fuji,Japan
76,HERMOSA Rodrigo,PAR,2003,0:30.37,1 June 2024,Berlin,Germany
77,PACE Ettore Edoardo,ITA,2006,0:30.40,6 July 2024,Brescia,Italy
78,KOWALSKI Gabriel,POL,2004,0:30.59,22 June 2024,Łódź,Poland
79,MIRMANOV Dias,UZB,2010,0:30.76,7 December 2024,Cairo,Egypt
80,AL-ATTWANI Mohammed,IRQ,2010,0:30.79,7 December 2024,Cairo,Egypt
81,MALDONADO MALDONADO Diego Fernando,COL,2002,0:30.80,20 October 2024,Bucaramanga,Colombia
82=,HARRISON Guy,NZL,2001,0:30.81,24 February 2024,Melbourne,Australia
82=,ZAMORA Esteban,CRC,1999,0:30.81,4 May 2024,Valladolid,Spain
84,NOTRETU Arian-Cristian,ROU,2005,0:31.05,1 June 2024,Berlin,Germany
85,YELDEKENOV Yerlan,KAZ,1997,0:31.17,8 June 2024,Limoges,France
86,THERON Jean-Baptiste,FRA,2006,0:31.33,24 March 2024,AIX EN PROVENCE,France
87,KYDD Kentreal Timothy,VIN,2006,0:31.45,2 September 2024,Paris,France
88,ODILOV Shoyatbek,UZB,2003,0:31.72,19 May 2024,Singapore,Singapore
89,KURANE Sumit Rajendra,IND,2004,0:31.79,15 March 2024,Lignano Sabbiadoro,Italy
90,STASA Matej,CZE,2009,0:31.99,1 June 2024,Berlin,Germany
91,ALFARO Neythan,CRC,2005,0:32.29,12 April 2024,Indianapolis,United States of America
92,SAGRERO LEON Nestor Vladimir,MEX,1992,0:32.53,24 November 2024,Guadalajara,Mexico
93,DUCHAN Josef,CZE,1982,0:32.84,22 June 2024,Brno,Czechia
94,HOLT Henrik,NOR,2008,0:32.89,7 July 2024,Bergen,Norway
95,SEDRAK Mena Wael,EGY,1999,0:32.94,7 December 2024,Cairo,Egypt
96,POLANCO PINTO Juan Jose,VEN,2003,0:33.10,24 February 2024,Barquisimeto,Venezuela
97,HOFFMANN Willy,GER,2009,0:33.25,1 June 2024,Berlin,Germany
98,NEGARESTANI Soroush,IRI,2004,0:33.59,2 May 2024,Tehran,Iran
99,SALCEDO Lucas,PER,2008,0:34.04,24 November 2024,Guadalajara,Mexico
100,BOYCE-VAUGHAN Antwahn,BAR,2000,0:34.28,2 September 2024,Paris,France
101,KUMAL Bhim Bahadur,NEP,1983,0:35.01,19 May 2024,Singapore,Singapore
102,ELMAJIE Malek,LBA,1990,0:35.26,7 December 2024,Cairo,Egypt
103,HERNANDEZ GONZALEZ Jonathan Joel,MEX,2010,0:35.95,24 November 2024,Guadalajara,Mexico
104,HOEGH Frederik,DEN,2008,0:50.42,26 January 2024,Kristiansand,Norway
