Rank,Name,NPC,Birth,Time,Date,City,Country
41,LERIDA MALDONADO Beatriz,ESP,2005,1:11.38,25 June 2023,CADIZ,Spain
42,ISHIHARA Marin,JPN,2002,1:11.57,17 September 2023,Yokohama,Japan
43,SUTTON Momo,USA,2007,1:11.62,15 December 2023,Orlando,United States of America
44,PROCHASKA Cali,USA,2002,1:11.69,20 April 2023,Minneapolis,United States of America
45,WITT Camilla Bitz,DEN,2003,1:11.81,12 May 2023,Berlin,Germany
46,MAEDA Ema,JPN,2007,1:11.95,15 December 2023,Brisbane,Australia
47,PAYER Kata,HUN,2005,1:11.96,16 December 2023,Gyor,Hungary
48,BADOWSKA Nikola,POL,2007,1:12.07,26 May 2023,Limoges,France
49,HIDALGO MU Itzel Fernanda,MEX,1999,1:12.16,20 April 2023,Minneapolis,United States of America
50,HARSANTO Mutiara Cantik,INA,2004,1:12.33,29 April 2023,Singapore,Singapore
51,JIMENEZ ROMERO DE AVILA Lydia,ESP,2006,1:12.44,26 May 2023,Limoges,France
52,APAESTEGUI FARFAN Micaela,PER,2010,1:12.45,24 November 2023,Santiago,Chile
53,PELLIS Suzie,NED,2007,1:12.57,9 March 2023,Lignano Sabbiadoro,Italy
54,URATA Manami,JPN,2003,1:12.72,17 September 2023,Yokohama,Japan
55,MARTINS MACHADO Catarina,BRA,2004,1:13.12,29 April 2023,Sao Paulo,Brazil
56,ISMAIL LLANQUINAO Cheila Andrea,CHI,1999,1:13.22,12 May 2023,Berlin,Germany
57,DUARTE CALDERON Maira Alejandra,COL,2004,1:13.34,20 May 2023,Villavicencio,Colombia
58,CHAVEZ GARCIA Carmen Paola,MEX,1998,1:13.35,5 October 2023,Guadalajara,Mexico
59,PINTO Renata,POR,1999,1:13.45,21 May 2023,Vila Franca de Xira,Portugal
60,LEAL FERRER Genesis Adela,VEN,1992,1:13.57,22 September 2023,Bucaramanga,Colombia
61,RICHARDS Poppy,AUS,2004,1:14.36,19 April 2023,Southport,Australia
62,DIEHL Ali,CAN,2008,1:14.42,3 August 2023,Toronto,Canada
63,HAASE Camila,CRC,2000,1:14.69,24 November 2023,Santiago,Chile
64,ORTEGA ZAMBRANO Mayte Yomaira,ECU,2005,1:15.05,9 June 2023,Bogota,Colombia
65,FREEMAN Casey,USA,2007,1:15.30,20 April 2023,Minneapolis,United States of America
66,SOLAR Luciana,ARG,2005,1:15.42,21 April 2023,Buenos Aires,Argentina
67,WHITE Mei,USA,2004,1:15.60,16 September 2023,Yucaipa,United States of America
68,KOMKAEW Surerut,THA,1985,1:15.65,26 October 2023,Hangzhou,China
69,MORLEY Elise,USA,2000,1:16.24,20 April 2023,Minneapolis,United States of America
70=,SLOAN Hannah,USA,2001,1:16.34,20 April 2023,Minneapolis,United States of America
70=,AU Lok Yi Dorothy,HKG,2007,1:16.34,4 December 2023,Nakhon Ratchasima,Thailand
72,CORNELISSEN Lena Katharina,GER,2000,1:16.40,12 May 2023,Berlin,Germany
73,GONZALEZ GONZALEZ Ximena,MEX,2006,1:16.54,3 August 2023,Toronto,Canada
74,RAZETDINOVA Adelina,NPA,2000,1:16.58,25 June 2023,Dzerzhinsk,Russia
75,DO AMARAL PETZOLD Mayara,BRA,2002,1:18.72,22 June 2023,Sao Paulo,Brazil
76,MAGLIANO Maria Olga,ITA,2004,1:19.41,9 March 2023,Lignano Sabbiadoro,Italy
77,ZAFAR Sumbul,CAN,1981,1:20.21,3 August 2023,Toronto,Canada
78,ARIAS Hanna,URU,2010,1:20.50,24 November 2023,Santiago,Chile
79,CHAIWONG Prakaithip,THA,2004,1:20.94,4 December 2023,Nakhon Ratchasima,Thailand
80,PIEC Alicja,POL,2007,1:21.46,19 November 2023,Szczecin,Poland
81,NEIMAN LEAL Francisca,CHI,2003,1:22.37,8 July 2023,Santiago,Chile
82,LAZARIDOU Marina Nikoleta,GRE,2005,1:22.59,19 February 2023,Thessaloniki,Greece
83,NAULT Tatiana,CAN,2005,1:25.73,2 December 2023,Surrey,Canada
84,RODRIGUES Erica Da Rosa,BRA,1994,1:27.55,22 June 2023,Sao Paulo,Brazil
85,SPINDOROVA Lea,SVK,2006,1:28.05,9 March 2023,Lignano Sabbiadoro,Italy
86,ISLAMI Ina Prihati Nur,INA,2005,1:30.80,29 April 2023,Singapore,Singapore
87,DEDIVANOVIC Iskra,MNE,2008,1:32.23,10 December 2023,Zagreb,Croatia
88,TAR Reka,HUN,2004,1:32.26,16 December 2023,Gyor,Hungary
89,CHIANG Man-Ling,TPE,2006,1:32.65,26 October 2023,Hangzhou,China
90,NAKADE Shashruti Vinayak,IND,2004,1:32.86,26 October 2023,Hangzhou,China
91,JOYO Tiara Hanum Kembang,INA,2007,1:34.74,29 April 2023,Singapore,Singapore
92,MACOVA Veronika,CZE,1997,1:36.18,27 May 2023,Plzen,Czechia
93,SRICHANPLIW Mesa,THA,2007,1:38.50,4 December 2023,Nakhon Ratchasima,Thailand
94,ALDAZORO PEREIRA Maria Julia,VEN,2000,1:59.29,2 September 2023,Barquisimeto,Venezuela
