Rank,Name,NPC,Birth,Time,Date,City,Country
32,KUBO Daiki,JPN,1988,1:00.90,7 October 2018,Jakarta,Indonesia
33,SALGUERO GALISTEO Oscar,ESP,1998,1:01.21,24 May 2018,Lignano Sabbiadoro,Italy
34,PANGABEAN Jendi,INA,1991,1:01.31,7 October 2018,Jakarta,Indonesia
35,GARBE Andrey Pereira,BRA,1997,1:01.35,19 October 2018,SAO PAULO,Brazil
36,MOZELA Lucas Lamente,BRA,1997,1:01.45,19 October 2018,SAO PAULO,Brazil
37=,LEACH Jacob,GBR,2000,1:01.48,31 May 2018,Sheffield,Great Britain
37=,TAVARES DOS SANTOS Eric,BRA,1996,1:01.48,19 October 2018,SAO PAULO,Brazil
39,KESNAR Jonas,CZE,2001,1:01.52,24 May 2018,Lignano Sabbiadoro,Italy
40,HYND Oliver,GBR,1994,1:01.66,31 May 2018,Sheffield,Great Britain
41,LUO Qingquan,CHN,1998,1:01.78,21 April 2018,Indianapolis,United States of America
42,KWON Hyun,KOR,1991,1:01.80,7 October 2018,Jakarta,Indonesia
43,GELFAND David,USA,1998,1:01.88,31 May 2018,Sheffield,Great Britain
44,KARAS Adam,GER,2001,1:01.91,14 August 2018,Dublin,Ireland
45,FICHTELMANN Felix-Ulli,GER,2001,1:02.06,8 June 2018,Berlin,Germany
46,GARRIDO BRUN Jacobo,ESP,2002,1:02.52,24 May 2018,Lignano Sabbiadoro,Italy
47,ADEFISAN Oludaisi,GBR,2000,1:02.87,31 May 2018,Sheffield,Great Britain
48,PLEMENCIC Luka,CRO,2000,1:02.91,8 June 2018,Berlin,Germany
49,KWON Yonghwa,KOR,1999,1:03.41,7 July 2018,Jeju,South Korea
50,PLAMONDON Nicolas,CAN,1998,1:03.65,8 April 2018,Montreal,Canada
51,VO Huynh Anh Khoa,VIE,1991,1:03.70,24 May 2018,Lignano Sabbiadoro,Italy
52,SWANEPOEL Caleb,RSA,1995,1:03.89,27 April 2018,Port Elizabeth,South Africa
53,YASUDA Seiga,JPN,1998,1:04.00,24 September 2018,Yokohama City,Japan
54,SCHUTTE Sven,NED,1986,1:04.14,8 June 2018,Berlin,Germany
55,CORNIC Mael,FRA,2000,1:04.16,14 August 2018,Dublin,Ireland
56,MICHALENTZAKIS Dimosthenis,GRE,1998,1:04.17,20 May 2018,Athens,Greece
57,TOMCZYK Dawid,POL,2001,1:04.27,16 November 2018,Szczecin,Poland
58,MALDONADO MALDONADO Diego Fernando,COL,2002,1:04.45,19 October 2018,Barranquilla,Colombia
59=,NAVARRO GONZALEZ Carlos,ESP,1999,1:04.49,24 March 2018,Castellon,Spain
59=,GUERRA Amilcar,ARG,1995,1:04.49,8 June 2018,Berlin,Germany
61,LOBBA Andrea,ITA,1999,1:04.50,16 December 2018,Brescia,Italy
62,REWAY DA SILVA Jhonatan,BRA,1999,1:04.68,28 April 2018,Sao Paulo,Brazil
63,TANDAZO Erick,ECU,2003,1:04.75,21 April 2018,Indianapolis,United States of America
64,TORRES Matthew,USA,2001,1:04.84,2 March 2018,Copenhagen,Denmark
65,CHOW Wang Kei,HKG,1984,1:05.13,7 October 2018,Jakarta,Indonesia
66,KOWALSKI Gabriel,POL,2004,1:05.32,16 November 2018,Szczecin,Poland
67,LUCENA SILVA Jose Rafael,VEN,1989,1:05.45,19 October 2018,Barranquilla,Colombia
68,JEON Hyungwoo,KOR,2002,1:06.02,3 June 2018,Cheongju,South Korea
69,BERNARDI GUARIENTI Vinicius,BRA,1995,1:06.11,28 April 2018,Sao Paulo,Brazil
70,SIGNORINI Facundo Mariano,ARG,2002,1:07.39,8 December 2018,Buenos Aires,Argentina
71,PRUETT Jacob,USA,1996,1:07.52,8 June 2018,Berlin,Germany
72,MEIXELSBERGER Tom,GER,2001,1:07.60,8 June 2018,Berlin,Germany
73,WATRY Thomas,USA,2002,1:07.71,21 April 2018,Indianapolis,United States of America
74,HIERSCHE Julian,GER,2002,1:07.92,8 June 2018,Berlin,Germany
75,SABIDO Roland,PHI,1990,1:07.93,7 October 2018,Jakarta,Indonesia
76=,SAPUTRA Rino,INA,1994,1:08.17,7 October 2018,Jakarta,Indonesia
76=,ULLEDENIYE Nirosh Dammika Kumarasiri,SRI,1981,1:08.17,7 October 2018,Jakarta,Indonesia
78,AZWARI Ahmad,INA,1991,1:08.33,2 July 2018,Jakarta,Indonesia
79,MARTINS DOMINGUES Matheus,BRA,1998,1:08.36,28 April 2018,Sao Paulo,Brazil
80,MARINOV Szabolcs,HUN,1999,1:08.66,31 May 2018,Sheffield,Great Britain
81,HUGHES Kyle,GBR,2001,1:09.17,1 December 2018,Manchester,Great Britain
82,GILL Rhys,GBR,2002,1:09.24,1 December 2018,Manchester,Great Britain
83,L'ABBATE Lorenzo,ITA,2001,1:09.36,16 December 2018,Brescia,Italy
84,SAGRERO LEON Nestor Vladimir,MEX,1992,1:09.46,24 November 2018,"ACAPULCO, GUERRERO",Mexico
85,SRINARONG Anurak,THA,1981,1:09.89,8 June 2018,Berlin,Germany
86,AL HUSSEIN Ibrahim,RPT,1988,1:09.96,14 August 2018,Dublin,Ireland
87,ABA Arnel,PHI,1984,1:10.42,7 October 2018,Jakarta,Indonesia
88,RAMIREZ Fernando,ESA,2000,1:11.01,28 April 2018,Sao Paulo,Brazil
89,LUSIAU Kylian Jacky S,BEL,2000,1:11.33,21 April 2018,Indianapolis,United States of America
90,JAGODIC Patrik,SLO,2002,1:11.75,24 May 2018,Lignano Sabbiadoro,Italy
91,MUNOZ Daniel Alejandro,ARG,2000,1:13.30,21 April 2018,Buenos Aires,Argentina
92,VICTOR Scody,MRI,1989,1:13.83,8 June 2018,Berlin,Germany
93,CENTURION Elian,ARG,2003,1:14.17,21 April 2018,Buenos Aires,Argentina
94=,ZAMORA Esteban,CRC,1999,1:14.77,23 January 2018,MANAGUA,Nicaragua
94=,HEEB Jakob,DEN,2001,1:14.77,2 March 2018,Copenhagen,Denmark
96,NOTRETU Arian-Cristian,ROU,2005,1:15.76,24 May 2018,Lignano Sabbiadoro,Italy
97,TANDAVONG Lamphone,LAO,1986,1:15.86,7 October 2018,Jakarta,Indonesia
98,YELDEKENOV Yerlan,KAZ,1997,1:16.16,7 October 2018,Jakarta,Indonesia
99,KAPADE Prathamesh Sambhaji,IND,2001,1:17.10,11 July 2018,"BENGALURU, KARNATAKA",India
100,ORTEGA BOLANOS Irving Jonathan,MEX,1997,1:17.92,24 November 2018,"ACAPULCO, GUERRERO",Mexico
101,KRAJNOVIC Jan,CRO,2002,1:18.22,24 May 2018,Lignano Sabbiadoro,Italy
102,CHAN Chu Sing,HKG,1995,1:19.07,7 October 2018,Jakarta,Indonesia
103,RAUHAUS Jan,GER,2000,1:20.71,29 September 2018,Hamm,Germany
104,STRBAC David,CRO,2000,1:21.69,24 May 2018,Lignano Sabbiadoro,Italy
105,DINESH Ashray,IND,1998,1:22.57,11 July 2018,"BENGALURU, KARNATAKA",India
106,NANDAKUMAR Tejas,IND,2005,1:22.80,8 June 2018,Berlin,Germany
107,KUMAL Bhim Bahadur,NEP,1983,1:22.95,7 October 2018,Jakarta,Indonesia
108,HERMOSA Rodrigo,PAR,2003,1:23.17,19 October 2018,Barranquilla,Colombia
109,NOKHAM Olam,LAO,1985,1:25.14,7 October 2018,Jakarta,Indonesia
110,ESTRADA Jayro,GUA,1988,1:26.47,23 January 2018,MANAGUA,Nicaragua
111,EXEQUIEL Bernaldino,ESA,1994,1:29.61,23 January 2018,MANAGUA,Nicaragua
112,PHETDUANGCHAY Bountham,LAO,1990,1:29.81,7 October 2018,Jakarta,Indonesia
113,CHEY Lonh,CAM,1991,1:32.55,7 October 2018,Jakarta,Indonesia
114,KARANJA Maina,KEN,1969,1:36.60,11 February 2018,NAIROBI,Kenya
115,SANI Antonio,TLS,1991,1:41.75,7 October 2018,Jakarta,Indonesia
116,MATSIKO Murray Ofumbi,UGA,1996,2:07.20,11 February 2018,NAIROBI,Kenya
117,LOPES Xavier,TLS,1991,2:11.98,7 October 2018,Jakarta,Indonesia
118,MUCHIRI Murage,KEN,1991,2:24.90,11 February 2018,NAIROBI,Kenya
