Rank,Name,NPC,Birth,Time,Date,City,Country
51,BEZUIDENHOUT James,RSA,1996,1:05.54,19 April 2013,Port Elizabeth,South Africa
52,VAN DEN BERG Sjaak,NED,1984,1:05.79,9 June 2013,Eindhoven,Netherlands
53,RAM Robert,USA,1995,1:05.88,4 April 2013,Minneapolis,United States of America
54,HERMANNSSON Gudmundur,ISL,1993,1:05.97,26 May 2013,Berlin,Germany
55,PHILLIPS Ryker,USA,1995,1:06.65,4 April 2013,Minneapolis,United States of America
56,COULON Dorian,FRA,1990,1:06.84,7 June 2013,Hyeres,France
57,BENDER Nils,GER,1993,1:06.94,25 April 2013,Sheffield,Great Britain
58,KOWALEWSKI Pascal,GER,1994,1:07.50,23 February 2013,Darmstadt,Germany
59,RECALCATI Marco,ITA,1994,1:07.52,7 April 2013,Busto Arsizio,Italy
60,LOBBA Andrea,ITA,1999,1:07.53,15 December 2013,Brescia,Italy
61,BERNARDI GUARIENTI Vinicius,BRA,1995,1:07.65,19 October 2013,Buenos Aires,Argentina
62,TADIC Ilija,MNE,1999,1:07.69,26 May 2013,Berlin,Germany
63,POWELL Logan,AUS,1999,1:07.94,19 December 2013,Brisbane,Australia
64,LARRAGA Arturo,MEX,1990,1:07.95,10 May 2013,Guadalajara,Mexico
65,WHITE Lewis,GBR,2000,1:08.23,25 April 2013,Sheffield,Great Britain
66,BARTNIK Mateusz,POL,1996,1:08.83,26 May 2013,Berlin,Germany
67,SHARP Tyler,USA,1995,1:09.27,4 April 2013,Minneapolis,United States of America
68,ZHANG Chunyong,CHN,1995,1:09.71,28 October 2013,Kuala Lumpur,Malaysia
69,PEREZ DE JESUS Victor Javier,MEX,1994,1:09.86,10 May 2013,Guadalajara,Mexico
70,HOCHENBERGER Philip,AUT,1992,1:10.10,25 April 2013,Sheffield,Great Britain
71,CEYLANTEPE Alper,TUR,1982,1:10.66,23 June 2013,Mersin,Türkiye
72,PLIAKOS Sokratis Konstantinos,GRE,1994,1:10.67,15 June 2013,Athens,Greece
73,SCHWEITZER Wolf,SUI,1967,1:10.69,26 May 2013,Berlin,Germany
74,PARKIN Charl,RSA,1968,1:11.06,19 April 2013,Port Elizabeth,South Africa
75,RIBSTEIN Jules,FRA,1986,1:11.15,15 February 2013,Amiens,France
76,SANTANA Gustavo,BRA,1992,1:11.29,9 June 2013,Sao Paulo,Brazil
77,MCGIVERN Laurence,IRL,1992,1:11.61,25 April 2013,Sheffield,Great Britain
78=,HELLER Jens,GER,1994,1:11.64,14 April 2013,Hamm,Germany
78=,KHAMEES Hamzah,IRQ,1970,1:11.64,29 May 2013,Ramenskoe,Russia
80,MUNOZ Oscar Andres,COL,1996,1:11.84,19 October 2013,Buenos Aires,Argentina
81,PLAMONDON Nicolas,CAN,1998,1:12.08,6 July 2013,"Montreal, QC",Canada
82,VENET Frederic,FRA,1992,1:12.11,7 June 2013,Hyeres,France
83,NEKOEI Mohammadreza,IRI,1997,1:12.41,28 October 2013,Kuala Lumpur,Malaysia
84,PROTOPOPOV Aleksandr,RUS,1996,1:12.50,29 May 2013,Ramenskoe,Russia
85,UCAK Ugur,TUR,1987,1:13.20,23 June 2013,Mersin,Türkiye
86,MENDOZA LOZANO Diego Alejandro,COL,1998,1:13.28,19 October 2013,Buenos Aires,Argentina
87,GONZALEZ Uriel,ARG,1997,1:13.33,15 June 2013,Buenos Aires,Argentina
88,MANNI Tuomas,FIN,1996,1:13.63,2 November 2013,Stockholm,Sweden
89,LIKSOR Robin,EST,1999,1:13.83,26 May 2013,Berlin,Germany
90,GIMPELJ Jaka,SLO,1997,1:14.26,11 May 2013,Split,Croatia
91,GUINET Corentin,FRA,1995,1:14.44,7 June 2013,Hyeres,France
92,SCHMIDT Caleb,USA,1996,1:14.68,11 May 2013,Cincinnati,United States of America
93,MENDEZ INIGUEZ Angel Daniel,MEX,1996,1:14.91,19 October 2013,Buenos Aires,Argentina
94,VAN DE LOGT Erik,GER,1996,1:15.75,26 May 2013,Berlin,Germany
95,TADIC Nemanja,SRB,1995,1:16.20,26 May 2013,Berlin,Germany
96,GLATZL Marco,AUT,1997,1:17.51,26 May 2013,Berlin,Germany
97,NOORI Ali Qays Noori,IRQ,1996,1:17.78,11 May 2013,Split,Croatia
98,OCHOA Brayan,COL,1998,1:17.83,19 October 2013,Buenos Aires,Argentina
99,FONTE Angelo,ITA,1978,1:20.65,8 June 2013,Rome,Italy
100,DARAIO Axel Manuel,ARG,1999,1:23.52,19 October 2013,Buenos Aires,Argentina
101,SOLANO Carlos,VEN,1997,1:25.25,19 October 2013,Buenos Aires,Argentina
102,MACZYNSKI Maciej Kamil,POL,1999,1:26.65,26 May 2013,Berlin,Germany
103,KHANTREE Witthawat,THA,1995,1:29.84,28 October 2013,Kuala Lumpur,Malaysia
104,ARGYROPOULOS Dimitrios,GRE,1974,1:35.08,15 June 2013,Athens,Greece
105,HONORATO Xabier,CHI,1996,1:35.32,19 October 2013,Buenos Aires,Argentina
106,TERZI Federico,ITA,1978,1:43.12,7 April 2013,Busto Arsizio,Italy
107,SERRANO CONTRERA Angelo Jose,VEN,1997,1:50.23,19 October 2013,Buenos Aires,Argentina
