Rank,Name,NPC,Birth,Time,Date,City,Country
32,BAANDERS Dominique,NED,1993,0:34.10,8 December 2013,Amsterdam,Netherlands
33,BRODIN Helene,NOR,1996,0:34.20,10 March 2013,Esbjerg,Denmark
34,PASAY Kennedy,CAN,1997,0:34.33,5 April 2013,Minneapolis,United States of America
35,BUTLER Ffion,GBR,1998,0:34.37,21 December 2013,Swansea,Great Britain
36,FERNANDES Ana Paula,BRA,1995,0:34.42,18 October 2013,Buenos Aires,Argentina
37,LIANG Megan Kuang-Hsin,USA,1995,0:34.52,5 April 2013,Minneapolis,United States of America
38,GORDON Hope,GBR,1994,0:34.65,28 April 2013,Sheffield,Great Britain
39,GRAY Georgia,NZL,1993,0:35.02,28 April 2013,Sheffield,Great Britain
40,HARRIS Emily,GBR,1997,0:35.40,31 July 2013,Sheffield,Great Britain
41,JURIN Melany,ARG,1994,0:35.71,27 April 2013,Sao Paulo,Brazil
42,HEGGERTVEIT Marte,NOR,1999,0:35.76,3 November 2013,Stockholm,Sweden
43=,TREMBLAY Elodie,CAN,1993,0:35.85,8 August 2013,"Sherbrooke, Quebec",Canada
43=,LARA GARCIA Itzel Lucero,MEX,1997,0:35.85,18 October 2013,Buenos Aires,Argentina
45,GORDIYCHUK Yuliya,ISR,1998,0:35.92,23 May 2013,Berlin,Germany
46,LANGLOIS Delphine,FRA,1996,0:35.96,8 June 2013,Hyeres,France
47,KOMARKOVA Katerina,CZE,1995,0:36.07,23 May 2013,Berlin,Germany
48,RODRIGUES Erica Da Rosa,BRA,1994,0:36.36,27 April 2013,Sao Paulo,Brazil
49,LILJA Liisa,FIN,1992,0:36.46,6 July 2013,Jyvaskyla,Finland
50,BOSECKER Julia,GER,1998,0:37.08,23 May 2013,Berlin,Germany
51,BARBARINO Caroline,BRA,1995,0:37.18,9 November 2013,Fortaleza,Brazil
52,CHRISTENSEN Laura Martens,DEN,1997,0:37.67,23 May 2013,Berlin,Germany
53,MAKGAKGA Dimakatso Mmatsiane,RSA,1996,0:37.72,20 April 2013,Port Elizabeth,South Africa
54,JOVOVIC Ana,SRB,1999,0:37.93,23 May 2013,Berlin,Germany
55,SKIENEH Jenna,CAN,1993,0:38.07,11 May 2013,Cincinnati,United States of America
56,FRANKS Rebecca,GBR,1997,0:38.31,31 July 2013,Sheffield,Great Britain
57,ETIENNE Lucie,FRA,2001,0:38.36,16 February 2013,Amiens,France
58,DJUPSKAS Ingrid,NOR,1989,0:38.38,5 July 2013,Kristiansand,Norway
59,CROOK Alyssia,USA,1998,0:38.47,5 April 2013,Minneapolis,United States of America
60,LE BOULAIRE Marine,FRA,1997,0:38.54,16 February 2013,Amiens,France
61=,CASTRO Ana,POR,1997,0:38.74,7 April 2013,Povoa de Varzim,Portugal
61=,ERMAN Micaela Andrea,ARG,1997,0:38.74,18 October 2013,Buenos Aires,Argentina
63,GONZALEZ RODRIGUEZ Laura Carolina,COL,1999,0:39.67,18 October 2013,Buenos Aires,Argentina
64,MCCABE Jay,GBR,2002,0:40.06,31 July 2013,Sheffield,Great Britain
65,MARTINEZ Isabel,MEX,1999,0:40.16,18 October 2013,Buenos Aires,Argentina
66,BASTIEN Marine,FRA,1994,0:40.21,8 June 2013,Hyeres,France
67,KIMLICKOVA Kristina,SVK,2002,0:41.43,8 June 2013,Eger,Hungary
68,KUBICA Katarzyna,POL,1995,0:41.65,3 November 2013,Stockholm,Sweden
69,BELLIN Maria Rozalia,ITA,1994,0:41.80,9 June 2013,Rome,Italy
70,VEGA Laydis,PAN,1998,0:43.72,18 October 2013,Buenos Aires,Argentina
71,SKLYAROVA Anastasia,RUS,1989,0:46.74,5 April 2013,Minneapolis,United States of America
72,HARASIM Malwina,POL,2001,0:47.00,3 November 2013,Stockholm,Sweden
73,SKJENSVOLD Heidi-Ann,NOR,1997,0:47.16,3 November 2013,Stockholm,Sweden
74,ZULETA Hellen,CHI,1998,0:57.57,18 October 2013,Buenos Aires,Argentina
75,PAING Khin,USA,1969,0:59.17,28 September 2013,"Santa Clara, CA",United States of America
76,LATHAM Nicole,AUS,1979,0:59.60,13 January 2013,Melbourne,Australia
